3488 sayılı Uygulanma İmkanı Kalmamış Olan Kanunların Yürürlükten Kaldırılması Hakkında Kanun
Yayımlandığı Resmî Gazete Tarihi: 08.11.1988
Yayımlandığı Resmî Gazete Sayısı: 19983
Kabul Tarihi	27.10.1988
Madde 0001:
İlişik listedeki kanunlar, yürürlükten kaldırılmıştır.
UYGULANMA İMKANI KALMAMIŞ OLAN KANUNLARIN YÜRÜRLÜKTEN KALDIRILMASI HAKKINDA KANUNUN 1 inci MADDESİNİN EKİ
LİSTE
Kanun Tarihi	No.	A d ı
29.09.1960	88	Devrilen İktidar Zamanında Suç İşleyen Yüksek Dereceli Memurlar Hakkında Yapılacak Soruşturma Usulüne Dair 45 Sayılı Kanunun değiştirilmesine Hakkında Kanun
29.09.1960	89	Sayıştay Soruşturma Kurulunun Görev ve Yetkileri Hakkında Kanun
30.09.1960	92	5434 Sayılı Türkiye Cumhuriyeti Emekli Sandığı Kanununa Ek 42 Sayılı Kanunun Geçici 1 İnci Maddesine Bir Fıkra Eklenmesi Hakkında Kanun
06.10.1960	94	6334 Sayılı Kanun İle Bu Kanunu Değiştiren 6732 Sayılı Kanunun Kaldırılmasına Dair Kanun
11.10.1960	97	1076 Sayılı Yedeksubay ve Yedek Askeri Memurlar Kanununun 3 üncü Maddesinin Değiştirilmesine ve Bu Kanuna Geçici Maddeler İlavesine Dair Kanun
21.10.1960	106	6290 Sayılı Kanuna Ekli Gümrük Giriş Tarife Cetvelinin 51 inci Faslının 51.01 ve 51.03 Pozisyonları ile 59 uncu Faslının 59.05 Pozisyonunda Tali Pozisyonlar İhdasına Dair 34 Sayılı Kanunun Geçici Maddesinin Tadili ile Bu Kanuna Yeniden Geçici Bir Madde ilavesi Hakkında Kanun
24.10.1960	112	Hürriyet İstikrazı Hakkındaki 11 Numaralı Kanunun 8 inci Maddesi Bir Fıkra Eklenmesine Dair Kanun
27.10.1960	114	Üniversiteler Öğretim üyelerinden Bazılarının Vazifelerinden Affına ve Bazılarının Diğer Fakülte ve Yüksek Okullara Nakline Dair Kanun
03.11.1960	120	İl Genel ve Belediye Meclisleri ile Mahalle Muhtar ve İhtiyar Heyetlerinin Feshine ve Görevlerinin İfa Şekline Dair Kanun
04.11.1960	123	Köylü ve Çiftçilerin Türkiye Cumhuriyeti Ziraat Bankası Tarım Kredi Kooperatiflerine Olan Vadesi Geçmiş Borçlarının Taksitlendirilmesi Hakkında Kanun
09.11.1960	125	42 Sayılı Kanun Gereğince Emekliye Ayrılan Subaylardan İsteklilerin Öğretmenliğe Alınması Hakkında Kanun
14.11.1960	126	5434 Sayılı Türkiye Cumhuriyeti Emekli Sandığı Kanununa Ek 02.08.1960 Tarih ve 42 Sayılı Kanuna Geçici Bir Madde Eklenmesine Dair Kanun
18.11.1960	133	27.04.1960 Tarih ve 7468 Sayılı Kanunun Kaldırılmasına Dair Kanun
21.11.1960	135	Türk Ticaret Kanununun Mer iyet ve Tatbik Şekli Hakkındaki 6763 Sayılı Kanuna Geçici Bir Madde Eklenmesine Dair Kanun
23.11.1960	137	Sağlık ve Sosyal Yardım Bakanlığı Kuruluş ve Memurları Kanununa Bazı Hükümler Eklenmesine ve 4258 Sayılı Kanuna Bağlı Kadro Cetvellerinin Değiştirilmesine Dair Olan 4862 Sayılı Kanuna Bağlı «1» Sayılı Cetvelde Değişiklik Yapılması Hakkında Kanun
25.11.1960	141	27 Mayıs İnkılabı Dolayısıyla 100 Milyon Liralık Madeni Hatıra Para Bastırılması Hakkında Kanun
29.11.1960	145	1076 Sayılı Yedek Subay ve Yedek Askeri Memurlar Kanununun 3 üncü Maddesinin Değiştirilmesine Dair 11 Ekim 1960 Tarih ve 97 Sayılı Kanuna Geçici Bir Madde Eklenmesi Hakkında Kanun
01.12.1960	148	Devrilen İktidar Zamanında Suç İşleyen Yüksek Dereceli Memurlar Hakkında Yapılacak Soruşturma Usulune Mütedair 45 Sayılı Kanunun Yürürlükten Kaldırılması Hakkında Kanun
05.12.1960	152	Kaçakçılığın Men ve Takibine Dair 1918 Sayılı Kanunun 21 ve 24 üncü Maddelerinin Değiştirilmesi Hakkında Kanun
06.12.1960	154	Hazinenin ve İktisadi Devlet Teşebbüslerinin Bir Kısım Borçlarının Tahkimi Hakkında Kanun
13.12.1960	158	Temsilciler Meclisi Seçimi Kanunu
13.12.1960	159	Kurucu Meclis Üyelerinin Özlük Hakları Hakkında Kanun
15.12.1960	164	Yassıada da ve Türkiye Cumhuriyeti Milli Birlik Komitesi İrtibat Bürosunda Çalışanlara Yevmiye ve Munzam Ücret Ödenmesi Hakkında Kanun
26.12.1960	172	Münfesih Büyük Millet Meclisi İdare Amirliğince, Meclis Tahsisat Artıklarının Muhafaza Olunduğu, Türkiye Cumhuriyeti Ziraat Bankası Merkez Müdürlüğü Nezdinde Mevcut Hesabın Tasfiyesi ve Sabık Milletvekillerinin Gelecek Bütçe Yılları Tahsisat ve Yolluklarına Mukabil Bankalardan Temin Ettikleri İkrazlardan Mütevellit Borçlarının Takip Şekli Hakkında Kanun
26.12.1960	173	Devlet Meteoroloji İşleri Umum Müdürlüğünce İthal Edilecek, Malzeme ve Aletlerin Gümrük Resminden ve Diğer Vergilerden Muafiyeti Hakkında Kanun
26.12.1960	175	Hakimler Kanununun Bazı Maddelerinin Değiştirilmesi ve İki Geçici Madde Eklenmesi Hakkındaki 5457 Sayılı Kanuna Muvakkat Bir Madde İlavesine Dair Olan 6004 Sayılı Kanun Hükmünün İki Yıl Daha Uzatılması Hakkında Kanun
26.12.1960	179	3339 Sayılı Kanunun Yürürlük Süresinin Uzatılmasına Dair Kanun
26.12.1960	180	42 Sayılı Kanun Gereğince Emekli Olan Subaylara Mesken Yaptırılması Hakkında Kanun
26.12.1960	181	6245 Sayılı Harcırah Kanununun 33 üncü Maddesinin (b) Fıkrasında Tadat Edilen Memuriyetlere «Bankalar Yeminli Murakıp Muavinleri»nin İlavesine Dair Kanun
27.12.1960	183	Memurların Tahsil Müesseselerinde Talebe Olamıyacaklarına Dair 4007 Sayılı Kanun ile Bu Kanunun 1 inci Maddesinin Değiştirilmesi Hakkındaki 4214 Sayılı Kanunun Yürürlükten Kaldırılmasına Dair Kanun
27.12.1960	185	Hazineye ve Amortisman ve Kredi Sandığına Ait Altınlardan Bir Kısmının Türkiye Cumhuriyet Merkez Bankasına Satılmasına Dair Kanun
28.12.1960	186	Subay, Askeri Memur ve Astsubayların Lojman İhtiyacı İçin Gelecek Yıllara Geçici Yüklenmelere Girişilmesi Hakkında Kanun
02.01.1961	199	Kıbrıs ta Kuraklıktan Zarar Gören Türk Çiftçisine Yapılacak Tohumluk Buğday ve Tohumluk Arpa Yardımı Hakkında Kanun
05.01.1961	214	Türk Kanser Araştırma ve Savaş Kurumunun Uzuvlarının Feshi ile Mezkur Uzuvların Yeniden Seçimlerinin Yapılmasına ve Bu Uzuvların Faaliyete Geçişine Kadar Dernek Muamelatının Sağlık ve Sosyal Yardım Bakanlığınca Yürütülmesine Dair Kanun
05.01.1961	216	5682 Sayılı Pasaport Kanununa Ek Kanun
05.01.1961	218	1 Sayılı Kanunun 6 ncı Maddesi ve 6, 52 ve 62 Sayılı Kanunlar Gereğince Nezaret Altına Alınan ve Yargılananların Muhafaza ve Yargılanmaları Dolayısiyle Yapılacak Masraflar Hakkında Kanun
05.01.1961	220	Dumlupınar Zafer Abidesinin İnşası Hakkında Kanun
05.01.1961	226	42 Sayılı Kanun Gereğince Emekliye Ayrılan Subaylardan İsteklilerin Öğretmenliğe Alınması Hakkında 125 Sayılı Kanuna Bir Madde Eklenmesine Dair Kanun
05.01.1961	229	Gülhane Askeri Tıp Akademisi Binasının İnşası Hakkında Kanun
05.01.1961	236	1861 Sayılı Jandarma Efradı Kanununa Bazı Maddeler Eklenmesine Dair Kanun
23.02.1961	248	1961 Yılı Sanayi ve İşyerleri Sayımının 1964 Yılına Bırakılması Hakkında Kanun
28.02.1961	279	Emekli, Dul ve Yetim Aylıklarına Zam Yapılması Hakkında Kanun
28.02.1961	281	Bir Kısım Vergi Cezalarıyla Gecikme Zamlarının Tecil ve Tasfiyesine Dair Kanun
13.03.1961	282	Çiftçi Mallarının Korunması Hakkındaki 4081 Sayılı Kanuna 3 Geçici Madde Eklenmesine Dair Kanun
28.03.1961	283	Anayasanın Halkoyuna Sunulması Hakkında Kanun
24.05.1961	305	60 404 000 Liralık Hazine Borç ve Alacağının Mahsubuna Dair Kanun
29.05.1961	308	05.01.1961 Tarihi ve 222 Sayılı İlköğretim ve Eğitim Kanununun Geçici 5 inci Maddesinin Değiştirilmesi Hakkında Kanun
22.06.1961	310	Göçmenlerle Nakledilenlere ve Muhtaç Çiftçilere Tohumluk ve Yemeklik Dağıtılması Hakkındaki 3242 Sayılı Kanunla, Muhtaç Çiftçilere Ödünç Tohumluk Verilmesine Dair 5254 Sayılı Kanuna Göre Verilen Tohumluk ve Yemeklik Bedellerinin Tecili Hakkında Kanun
06.07.1961	312	Anayasanın Halkoyuna Sunulması Hakkındaki 283 Sayılı Kanunun 5 inci Maddesine Bir Fıkra Eklenmesi Hakkında Kanun
26.07.1961	338	Subay, Askeri Memur ve Astsubayların Lojman İhtiyacı İçin Gelecek Yıllara Geçici Yüklenmelere Girişilmesi Hakkındaki 186 Sayılı Kanunun Geçici Maddesinin Değiştirilmesine Dair Kanun
08.08.1961	341	1111 Sayılı Askerlik Kanununa Geçici Bir Madde Eklenmesine Dair Kanun
08.08.1961	344	4792 Sayılı İşçi Sigortaları Kurumu Kanununun 5565 Sayılı Kanunla Değiştirilen 20 nci Maddesinin Tadili ve Bu Kanuna Bir Geçici Madde Eklenmesi Hakkında Kanun
09.08.1961	345	1961 Genel Tarım Sayımının 1963 Yılına Bırakılmasına Dair Kanun
09.08.1961	346	146 Sayılı Kanuna Bağlı Gümrük Giriş Tarife Cetvelinde Değişiklik Yapılması Hakkında Kanun
16.08.1961	347	Seçimlerin Temel Hükümleri ve Seçmen Kütükleri Hakkındaki 298 Sayılı Kanuna Altı Geçici Madde Eklenmesine Dair Kanun
18.08.1961	352	Ankara da İstatistik Umum Müdürlüğü Binası Yapılması İçin Gelecek Yıllara Geçici Taahhütlere Girişilmesi Hakkında 6805 Sayılı Kanunun 1 inci Maddesinin Değiştirilmesine Dair Kanun
02.09.1961	361	13.12.1960 Tarihli ve 157 Sayılı Kanunun 24 üncü Maddesine Bir Fıkra Eklenmesi Hakkında Kanun
07.09.1961	375	1961 Yılında Yapılacak Seçimlerin Başlangıcından, Yeni Hükümetin Kurulup İşe Başlamasından İki Ay Sonrasına Kadar Geçecek Zaman İçinde İşlenecek Bazı Suçların 3005 Sayılı Kanun Hükümlerine Tabi Tutulması Hakkında Kanun
25.01.1962	5	7244 Sayılı Kanunda Değişiklik Yapılması ve Bu Kanuna Bazı Hükümler Eklenmesi Hakkındaki 263 Sayılı Kanun ile Emekli, Dul ve Yetim Aylıklarına Zam Yapılmasına Dair Olan 279 Sayılı Kanuna Ek Kanun
27.02.1962	33	1111 Sayılı Askerlik Kanununa Ek 6794 Sayılı Kanunun Kaldırılması Hakkında Kanun
28.02.1962	36	Yüksek Adalet Divanının Muhakeme Usulüne Ait (3) Sayılı Kanunun 8 inci Maddesinin Kaldırılması Hakkında Kanun
06.03.1962	39	1962 Yılında Gelir Vergilerinin Üç, Kurumlar Vergisinin İki Taksitte Ödenmesi ve 193 Sayılı Gelir Vergisi Kanununa Geçici Bir Madde İlavesi Hakkında Kanun
12.04.1962	43	Üniversite Öğretim Üyelerinden Bazılarının Vazifelerinden Affına ve Bazılarının Diğer Fakülte ve Yüksek Okullara Nakline Dair 27.10.1960 Tarihli ve 114 Sayılı Kanunun Bazı Maddelerinin Kaldırılması ve Yeni Hükümler Eklenmesi Hakkında Kanun
10.05.1962	49	11.10.1960 Tarihli ve 97 Sayılı Kanunun Geçici İkinci Maddesi Son Bendinin Değiştirilmesine Dair Kanun
07.06.1962	52	3005 Sayılı Meşhut Suçlar Kanununun 14 üncü Maddesinin Yürürlükten Kaldırılmasına Müteallik Kanun
02.07.1962	56	1076 Sayılı Yedek Subay ve Yedek Askeri Memurlar Kanununun 3 üncü Maddesinin 3 üncü Fıkrasının Değiştirilmesi Hakkında Kanun
05.07.1962	60	Adalet Başkatibi, İcra Memuru, Zabit Katibi ve Yardımcılarına, Mübaşir, Cezaevi Müdür, Memur ve Gardiyanlara Tazminat Verilmesi Hakkında Kanun
06.07.1962	67	Ankara Şap Enstitüsü ve Müştemilatı İnşaası İçin Gelecek Yıllara Sari Taahhütlere Girişilmesi Hakkında Kanun
05.10.1962	75	1076 Sayılı Yedek Subay ve Yedek Askeri Memurlar Kanununun 3 üncü Maddesinin Değiştirilmesine ve Bu Kanuna Geçici Maddeler İlavesi Hakkındaki 97 Sayılı Kanunun Geçici İkinci Maddesine Bir Fıkra Eklenmesine Dair Kanun
23.10.1962	82	5434 Sayılı Türkiye Cumhuriyeti Emekli Sandığı Kanununa Geçici Bir Madde Eklenmesine Dair Kanun
23.10.1962	83	5434 Sayılı Türkiye Cumhuriyeti Emekli Sandığı Kanununa Geçici Bir Madde Eklenmesine Dair Kanun
23.10.1962	86	Mersin Liman İnşaat Sahası Dahilinde Silo Tesisleri İçin Ayrılan Sahanın Toprak Mahsulleri Ofisine Satışı Hakkında Kanun
29.11.1962	122	Devlet Memurları Aylıklarının Tevhit ve Teadülüne Dair Olan 3656 Sayılı Kanuna Bağlı (1) Numaralı Cetvelde Değişiklik Yapılması ve Gümrük ve Tekel Bakanlığı Teşkilat ve Ödevleri Hakkındaki 2825 Sayılı Kanuna İki Madde Eklenmesi Hakkındaki 4607 Sayılı Kanuna Ek 1 inci Maddesinin Değiştirilmesi Hakkındaki Kanun
24.01.1963	162	Hayvan Hırsızlığının Men i Hakkındaki 5617 Sayılı Kanunun 14 üncü Maddesinin Kaldırılmasına Dair Kanun
24.01.1963	163	Asker Ailelerinden Muhtaç Olanlara Yardım Yapılması Hakkındaki Kanunun 7 nci Maddesinin Son Fıkrasının Kaldırılmasına Dair Kanun
24.01.1963	164	Askerlik Kanununun 5673 Sayılı Kanunla Değişik 5 inci Maddesinin Değiştirilmesine ve Bu Kanuna Geçici Bir Madde Eklenmesine Dair Kanun
21.12.1962	165	Milli Eğitim Bakanlığınca, 7475 Sayılı Kanunla Açılacak İki Teknik Okula, İlaveten Zonguldak ta Yeni Bir Teknik Okul Açılması Hakkında Kanun
12.02.1963	173	Bazı Cürümlerden Dolayı Memurlar ve Şerikleri Hakkında Takip ve Muhakeme Usulüne Dair 1609 Sayılı Kanunun 3 üncü Maddesinin Kaldırılması Hakkında Kanun
12.02.1963	175	Subay, Askeri Memur ve Astsubayların Lojman ihtiyacı İçin Gelecek Yıllara Geçici Yüklenmelere Girişilmesi Hakkındaki Kanunun Muaddel Geçici Maddesinin Değiştirilmesine ve Bu Kanuna Bir Madde Eklenmesine Dair Kanun
14.02.1963	176	Sağlık ve Sosyal Yardım Bakanlığı Merkez ve Taşra Teşkilatı ve Müesseseleri ile Özel İdare ve Belediyeler Teşkilatında Çalışan Sağlık Memuru, Hemşire ve Ebelerin Maaş İntibak Dereceleri Hakkında Kanun
15.02.1963	177	Servet Beyannamelerinin İadesi ve Yeni Servet Beyannameleri Alınması Hakkında Kanun
15.02.1963	186	6802 Sayılı Gider Vergileri Kanununun 33 üncü Maddesinin Değiştirilmesi Hakkında Kanun
15.02.1963	187	Gider Vergileri Kanununda Bazı Değişiklikler Yapılması, İstihsal ve Gümrük Vergileri Hadleri Artırılmış Olan Akaryakıtlarını Stok Vergisine Tabi Tutulması Hakkında Kanun
15.02.1963	189	213 Sayılı Vergi Usul Kanununun 297 nci Maddesinin Değiştirilmesi Hakkında Kanun
21.02.1963	212	Sürekli Görevle Yabancı Memleketlerde Bulunan Memurların Aylıkları Hakkındaki 4991 Sayılı Kanunda Değişiklik Yapılmasına Dair Kanun
21.02.1963	213	Zirai Mücadele ve Zirai Karantina Kanununun 62 nci Maddesinin Son Fıkrasının Yürürlükten Kaldırılması Hakkında Kanun
21.02.1963	214	Seylaptan Dolayı İrası Hasar Eden Gayrimemluk Enharı Sağırenin Sureti Tathiri Hakkındaki 02.02.1330 Tarihli ve 148 Sayılı Kanunun Yürürlükten Kaldırılmasına Dair Kanun
21.02.1963	215	İzalei Şekavet Kanununun Yürürlükten Kaldırılmasına Dair Kanun
11.04.1963	222	Türkiye Cumhuriyeti Ziraat Bankası ile Amerika da Kain Howard İnternational Inc. Firması Arasında İtilafın Halline Dair Kanun
18.04.1963	224	Dışişleri Bakanlığı Kuruluşu Hakkındaki 3312 Sayılı Kanuna Ek Kanun
24.05.1963	231	5434 Sayılı Türkiye Cumhuriyeti Emekli Sandığı Kanununun 23 üncü Maddesinin Değiştirilmesi Hakkında Kanun
28.05.1963	237	Tekel Genel Müdürlüğü Binası İnşası İçin Gelecek Senelere Sari Taahhütlere Girişilmesi Hakkındaki 7077 Sayılı Kanunun 1 inci Maddesinin Değiştirilmesi Hakkında Kanun
12.06.1963	250	Hazinenin ve İktisadi Devlet Teşebbüslerinin Bir Kısım Borçlarının Tahkimi Hakkındaki 154 Sayılı Kanuna Ek Kanun
13.06.1963	252	Spor Kulüplerince Oyunculara ve Karşı Kulüplere Şimdiye Kadar Ödenmiş Bulunan Transfer Ücretleriyle Teşvik Primlerinden Mütevellit Vergi Borçlarının Bir Defaya Mahsus Olmak Üzere Affı Hakkında Kanun
01.07.1963	264	Birleşmiş Milletler Teşkilatı Tarafından Çıkarılan 200 Milyon Dolarlık Bonodan 100.000 Dolarlık Kısmının Satın Alınması Hususunda Hükümete Yetki Verilmesine Dair Kanun
11.07.1963	272	Serseri ve Mazannaisu Eşhas Hakkında Kanunun Yürürlükten Kaldırılmasına Dair Kanun
17.07.1963	285	97 Sayılı Kanuna Göre Askerlik Hizmetlerini Milli Eğitim Bakanlığı Emrinde Öğretmen Olarak Yapanların İlkokul Öğretmenliğine Tayinleri Hakkında Kanun
18.07.1963	287	Şehir ve Kasabalarda Mahalle Muhtar ve İhtiyar Heyetleri Teşkiline Dair 4541 Sayılı Kanunda Değişiklik Yapılması ve Bazı Kanunların Kaldırılması Hakkında Kanun
18.07.1963	293	Köy İçme Suları Hakkındaki Kanunun 14 üncü Maddesinin İkinci Fıkrasının Yürürlükten Kaldırılmasına Dair Kanun
18.07.1963	294	5434 Sayılı Kanunun 7 nci Maddesine Bir Fıkra Eklenmesine Dair Olan 16 Ocak 1953 Gün ve 6015 Sayılı Kanunun 1 inci Maddesinin Değiştirilmesi Hakkında Kanun
19.07.1963	305	1960 Mali Yılı İçine Sürekli Görevle Yabancı Memleketlerde Bulunan Memurlara Emsalli Olarak Ödenmiş Bulunan Aylıklar Hakkında Kanun
05.09.1963	326	3238 Sayılı Köy Eğitmenleri Kanununun Kaldırılması ve Eğitmenlerin Aylıklı Kadrolara Geçirilmesine Dair Kanun
17.09.1963	331	Muvazenei Umumiyeye Dahil Bazı Dairelerin Yapı İşleri İçin Gelecek Yıllara Geçici Yüklenmelere Girişilmesi Hakkındaki Kanunun 1 inci Maddesine Bir Fıkra Eklenmesine Dair Kanun
19.09.1963	334	5434 Sayılı Türkiye Cumhuriyeti Emekli Sandığı Kanununa Ek 7242 Sayılı Kanunun Muvakkat Maddesinin Değiştirilmesi Hakkında Kanun
26.09.1963	338	1086 Sayılı Hukuk Usulü Muhakemeleri Kanununun 494, 495, 496, 497, 498, 499 ve 187/6 ncı Maddelerinin Yürürlükten Kaldırılmasına Dair Kaaun
02.10.1963	344	Devlet Memurları Aylıklarının Tevhid ve Teadülüne Dair Olan 3656 Sayılı Kanuna Bağlı (1) Sayılı Cetvelin Bayındırlık Bakanlığı Kısmına Bazı Kadrolar Eklenmesi Hakkında Kanun
03.10.1963	348	İstanbul Teknik Üniversitesince Arsa Satın Alınması İçin Gelecek Yıllara Geçici Yüklenmelere Girişilmesi Hakkında Kanun
15.10.1963	350	1111 Sayılı Askerlik Kanununun 35 inci Maddesinin (C) Fıkrasına 4092 Sayılı Kanunla Eklenen Hükümlerin Değiştirilmesi ve Bu Kanuna Bir Geçici Madde Eklenmesi Hakkında Kanun
27.12.1963	366	Milli Eğitim Bakanlığına Ankara da Yaptırılacak Merkez Binası İçin Gelecek Yıllara Geçici Yüklenmelere Girişilmesi Hakkında Kanun
07.01.1964	369	İmar Kanununa Bir Madde Eklenmesi Hakkındaki 7341 Sayılı Kanunun Yürürlükten Kaldırılmasına Dair Kanun
07.01.1964	371	Köy Enstitüleri ile İlköğretmen Okullarının Birleştirilmesi Hakkındaki Kanunun 5 inci Maddesinin Değiştirilmesine Dair Kanun
07.01.1964	372	Kurumlar Vergisi Kanununun 40 ıncı Maddesinin Değiştirilmesi Hakkında Kanun
07.01.1964	375	Türkiye Cumhuriyeti Hükümetince Avrupa Fonundan Temin Olunan Kredinin Devlet Borcu Olarak Hazine Hesaplarına İntikali ve Türk Lirası Karşılığının Kullanılma Şekli Hakkında Kanun
21.01.1964	379	Türkiye Cumhuriyeti Ziraat Bankası ve Tarım Kredi Kooperatifleri ile Emniyet Sandığı Memur ve Hizmetlilerine 100 üncü Yıldönümü İkramiyesi Verilmesi Hakkında Kanun
10.02.1964	402	Türk Parasının Kıymetini Koruma Hakkındaki 1567 Sayılı Kanunun Yürürlük Süresinin Uzatılmasına Dair Kanun
31.03.1964	444	10 ve 11 inci Dönem Türkiye Büyük Millet Meclisi Üyelerinin Ödeneklerinden Mütevellit T.C. Ziraat Bankası ve Maliye Bakanlığına Olan Borçlarının Ertelenmesine Dair Kanun
29.04.1964	451	Milli Savunma Bakanlığı Orta Sanat Okulları Öğrencileri Hakkında Kanun
29.04.1964	452	3242 ve 5254 Sayılı Kanunlarla Verilen Yemeklik ve Tohumluk Bedellerinin Tecili Hakkındaki 310 Sayılı Kanunun Bazı Maddelerinin Değiştirilmesine Dair Kanun
07.05.1964	467	4862 Sayılı Kanuna Bağlı (2) Sayılı Cetvelde Yazılı Kadroların Değiştirilmesi Hakkında Kanun
14.05.1964	472	Sağlık ve Sosyal Yardım Bakanlığı Teşkilatında Çalışmakta Olup Hususiyet Arzeden Yer ve Hizmetlerde Görevlendirilen Sağlık Personelline Ödenek Verilmesine Dair Kanun
14.05.1964	473	Devlet Demiryolları İşletmesi Memur ve Hizmetlilerinin Ücretlerine Dair Olan 3173 Sayılı Kanunun 5 inci Maddesine 4620 Sayılı Kanunun 3 üncü Maddesiyle Eklenen (F) Fıkrasının Değiştirilmesine Dair Kanun
14.07.1964	499	Yurt Dışında Çalışan İşçilere Konut ve Küçük Sanat Kredisi Açılması ve Ödünç Para Verilmesi Hakkında Kanun
29.12.1964	522	1964 Kalkınma İstikrazı Hakkında Kanun
13.02.1965	533	Seçimlerle İlgili Kanunların Bazı Hükümlerinin Değiştirilmesi Hakkında Kanun
16.02.1965	535	Atatürk Üniversitesi ile Karadeniz Teknik Üniversitesi Öğretim Üyeleri ve Bir Kısım Öğretim Yardımcılarına Ödenek Verilmesi Hakkında Kanun
16.02.1965	536	Devlet İstatistik Enstitüsünün Görev, Yetki ve Kuruluşu Hakkındaki 13.06.1962 Tarih ve 53 Sayılı Kanunun Geçici 3 üncü Maddesine Bir Fıkra Eklenmesine Dair Kanun
16.02.1965	537	5434 Sayılı Türkiye Cumhuriyeti Emekli Sandığı Kanununun 231 Sayılı Kanunla Değişik 23 üncü Maddesinin Değiştirilmesi Hakkında Kanun
29.03.1965	554	Tescil Edilmeyen Birleşmeler ile Bunlardan Doğan Çocukların Cezasız Tescili Hakkında Kanun
06.04.1965	571	PTT. nin 125 inci Hizmet Yılını Doldurmuş Olması Dolayısıyla Memur ve Hizmetlilerine Birer Aylık Tutarında İkramiye Verilmesi Hakkında Kanun
07.04.1965	574	İlköğretim ve Eğitim Kanununun 56 ncı Maddesinin (a) Bendinin Son Paragrafının Kaldırılması Hakkında Kanun
29.04.1965	596	Baraj İnşaatı Dolayısıyla Sular Altında Kalacak Kasaba, Köy ve Arazi Hakkındaki Kanunun Yürürlükten Kaldırılmasına Dair Kanun
03.06.1965	622	Dışişleri Bakanlığının Yabancı Memleketlerde Görevli Telsizcilerinin Ücretleri Hakkında Kanun
05.06.1965	623	İstanbul da Taksim de Yapılacak Oteli İnşaa Edecek ve İşletecek Anonim Ortaklığına Vakıflar Genel Müdürlüğünün Katılmasına Dair Kanun
08.06.1965	624	Devlet Personeli Sendikalar Kanunu
08.06.1965	627	İçişleri Bakanlığı Merkez ve Taşra Teşkilatında Çalışan Memurların Maaş İntibakı Hakkında Kanun
09.06.1965	629	Türkiye Cumhuriyeti Ziraat Bankası Kanununun 5453 ve 6617 Sayılı Kanunlarla Değişik Beşinci Maddesinin Birinci Fıkrasının Değiştirilmesi Hakkında Kanun
24.06.1965	638	4862 Sayılı Kanuna Bağlı (2) Sayılı Cetvelde Yazılı Kadroların Değiştirilmesine Dair Olan 467 Sayılı Kanunun 1 inci Maddesinin Değiştirilmesi Hakkında Kanun
29.06.1965	642	19.02.1963 Tarihli ve 202 Sayılı Kanunun Geçici 4 üncü Maddesinin Değiştirilmesi Hakkında Kanun
14.07.1965	650	Malatya Bölge Tayyare Tamir Fabrikası Tamirhanesine Ait Kerpiç Binada 26.01.1949 Gecesi Çıkan Yangın Neticesinde Hazine Lehine Doğan Alacağın Affı Hakkında Kanun
15.07.1965	662	5434 Sayılı T.C. Emekli Sandığı Kanununun 93 üncü Maddesinin Sonuna Bir Bend Eklenmesi Hakkında Kanun
15.07.1965	666	Türk Eğitim Derneğinin Türkiye Emlak Kredi Bankasına ve Vakıflar Genel Müdürlüğüne Olan Borçlarının Tasfiyesi Hakkında Kanun
15.07.1965	667	5539 Sayılı Karayolları Genel Müdürlüğü Kuruluş ve Görevleri Hakkında Kanuna Bağlı (1) Sayılı Cetvelde Değişiklik Yapılmasına Dair Kanun
15.07.1965	669	Türkiye Cumhuriyeti Emekli Sandığı Kanununa Ek ve Geçici Maddeler Eklenmesi Hakkında Kanun
16.07.1965	671	İdarei Umumiyei Vilayat Kanununun 7396 Sayılı Kanunla Muaddel 116 ncı ve 7021 Sayılı Kanunla Değiştirilen 140 ıncı Maddelerinin Değiştirilmesi Hakkında Kanun
16.07.1965	691	Belediyelerin ve Belediyelere Bağlı Müessese ve İşletmelerin Bir Kısım Borçlarının Hazinece Terkin ve Tahkimi Hakkında Kanun
16.07.1965	696	5434 Sayılı Kanuna Ek 02.08.1960 Gün ve 42 Sayılı Kanuna Geçici Bir Madde Eklenmesi Hakkında Kanun
16.07.1965	698	5434 Sayılı T.C. Emekli Sandığı Kanununa Geçici Bir Madde Eklenmesine Dair Kanun
09.02.1966	723	1567 Sayılı Kanunun Yürürlük Süresinin Uzatılmasına Dair Kanun
11.02.1966	724	Gelir Vergisi Kanununun Değişik Geçici 5 ve 6 ncı Maddeleri Hükümlerinin Değiştirilmesi Hakkında Kanun
17.05.1966	758	TCDD Memur ve Hizmetlilerine 6186 Sayılı Kanunun 10 uncu Maddesine Göre İkramiye Ödenmesi Hakkında Kanun
21.07.1966	776	Köylü ve Çiftçilerin T.C. Ziraat Bankası ve Tarım Kredi Kooperatiflerine Olan Borçlarının Taksitlendirilmesi Hakkında Kanun
24.11.1966	784	193 Sayılı Gelir Vergisi Kanununun 29 uncu Maddesinin 2 nci Fıkrasının Değiştirilmesi Hakkında Kanun
11.05.1967	867	Gece Öğretimi Yapan İktisadi ve Ticari İlimler Akademileri Öğretim Üyeleri ile Öğretim Yardımcılarına ve Diğer Personeline Ek Ücret Verilmesine Dair Kanun
16.05.1967	869	5584 Sayılı Posta Kanununun 1, 3, 25, 26 ve 40 ıncı Maddelerinden «İş Kağıtları» Kelimelerinin Çıkarılması Hakkında Kanun
