3488 sayılı Uygulanma İmkanı Kalmamış Olan Kanunların Yürürlükten Kaldırılması Hakkında Kanun
Yayımlandığı Resmî Gazete Tarihi: 08.11.1988
Yayımlandığı Resmî Gazete Sayısı: 19983
Kabul Tarihi	27.10.1988
Madde 0001:
İlişik listedeki kanunlar, yürürlükten kaldırılmıştır.
UYGULANMA İMKANI KALMAMIŞ OLAN KANUNLARIN YÜRÜRLÜKTEN KALDIRILMASI HAKKINDA KANUNUN 1 inci MADDESİNİN EKİ
LİSTE
Kanun Tarihi	No.	A d ı
30.03.1341	590	26.01.1340 Tarih ve 401 Numaralı «Muallimin ve talebenin Askerlikten Tecilleri Hakkındaki 21.02.1337 Tarihli Kanunun Birinci Maddesini Muaddil» Kanuna Müzeyyel Kanun
05.04.1341	598	Biliştirak Tasarruf Olunan Emvali Gayrimenkulenin Taksimi Hakkında 1 Kanunuevvel 1329 Tarihli Kanunun 8 inci ve 9 uncu Maddelerini Muaddil Kanun
13.04.1341	616	Mektep Vergisi Kanunu
14.04.1341	619	4 Temmuz 1337 Tarih ve 131 Numaralı «Şurayi Devletin Memurin Muhakematına Müteallik Vezaifiain Sureti İfası Hakkında»ki Kanuna Müzeyyel Kanun
15.04.1341	622	13 Mart 1340 Tarih ve 441 Numaralı Hükümet Yedinde Sahipsiz Olarak Mevcut Bulunan Emlakin, Emval ve Emlak Düşman Usat ve Hasbellüzum Hükümet Tarafından Tahrip Edilmiş Olanlara Nisbet Dahilinde Tevziine Mütedair Kanunun 1 inci ve 2 nci Maddelerini Muaddil Kanun
16.04.1341	624	Yeniden Üç Milyon Liralık Madeni Ufaklık Meskukat Darbı Hakkında Kanun
16.04.1341	625	Kütahya - Tavşanlı ve Temdidi Demiryolunun İnşaası Hakkında Kanun
19.04.1341	629	Çanakkale - Ezine - Bayramiç Balya ve Ezine -Ayvacık ve Susurluk - Gönen - Biga Yollarının Turuku Umumiye Meyanına İthali Hakkında Kanun
19.04.1341	632	4 Temmuz 1337 Tarih ve 131 Numaralı «Şurayı Devletin Memurin Muhakematına Müteallik Vezaifinin Sureti İfası Hakkında»ki Kanuna Müzeyyel Kanun
22.04.1341	658	Kadastro Kanunu
13.11.1341	664	Müdafaai Milliye Vekaletince 150 milyon Liralık Taahüdat icrası Hakkında Kanun
19.11.1341	666	Samsun Şehrinin Elektrikle Tenviri ve Su Tesisatı İçin Mahalli Belediyesince Aktedilecek 300 Bin Liralık İstikraza Hükümetçe Kefalet Edilmesi Mezuniyetine Dair Kanun
22.12.1341	678	Açıkta Kalan Ümera ve Zabitan Tahsisatları Hakkında Kanun
02.12.1341	679	Trablusgarp, Balkan Harbi Umumii ve İstiklali Milli Muhaberatında Şehit Olan Erkan, Ümera ve Zabitan ile Mensubini Askeriyenin Bazı Borçlarının Affına Dair Kanun
02.12.1341	681	Damızlığa ve Çifte Elverişli Hayvanatı Bakariye Vesairenin Sureti Muhafazası Hakkında Kanunun İlgasına Dair Kanun
12.12.1341	689	Donanma Cemiyetinin İlgası Hakkındaki Kararnamenin Lağvı ile Haiz Olduğu Hukukun Türk Tayyare Cemiyetine Devri Hakkında Kanun
12.12.1341	690	Tababet ve Sanayide Müstamel Bazı Ecza ve Mevaddın İthallerinin Serbest Bulunduğuna Dair Kanun
12.12.1341	691	Ticaret Muahedesi Aktedilmiyen Memleketler Müvaredatından Alınacak Rüsum ile İcabında Mukabele Bilmisil İcrasına Dair Kanun
12.12.1341	692	Ereğli - Karadere Şimendifer Hattının İnşa ve İşletilmesi Hakkındaki 26.01.1341 Tarih ve 548 Numaralı Kanunun İlgası ile İşbu Hattın Geniş Hatta Tahvili Sureti ile Ankara ile Ereğli Arasında İnşaa ve İşletilmesine Dair Kanun
26.12.1341	699	İdarei Umumiyei Vilayat Kanununu Muaddil 21.02.1337 Tarih ve 99 Numaralı Kanunun Birinci ve İkinci Maddelerini Tadil Eden Kanun
30.12.1341	701	Mevcut Evrakı Nakdiyenin Yenileriyle istibdaline Dair Kanun
31.12.1341	704	Matbaa Alat ve Edevatiyle Kitap ve Gazete Kağıtlarının Gümrük Resminden istisnasına Dair 09.12.1336 Tarih ve 71 Numaralı Kanunun ikinci Maddesinin İlgası Hakkında Kanun
06.01.1926	709	Çifteler Çiftliği Dahilindeki Araziye İcarei Zemin Olarak Tahakkuk Ettirilip Tahsil Edilmiyen Mebaliğin Affı Hakkında Kanun
11.01.1926	711	Tapu Daireleri Hududu Haricindeki Emvali Gayrimenkuleye Ait Muamelatı Tasarrufiyenin Sureti icrasına Dair Kanun
14.01.1926	716	Borçlanma Kanunu
16.01.1341	720	Ticaret Muahedesi Akdedilmeyen Memleketler Müvaredatından Alınacak Rüsum ile İcabında Mukabele Bilmisil İcrasına Dair 12 Kanunuevvel 1341 Tarih ve 691 Numaralı Kanuna Müzeyyel Kanun
25.01.1341	726	03.04.1340 Tarih ve 459 Numaralı Mahsup Kanununa Müzeyyel Kanun
03.02.1926	731	03.04.1340 Tarih ve 459 Numaralı Mahsup Kanununun 4 üncü Maddesine Bir Fıkra Tezyiline ve Mezkür Kanunun 6 ncı Maddesinin Tadiline Dair Kanun
15.02.1926	740	İstanbul Limanı Tamir ve Tahliye Türk Anonim Şirketinin İstikraz Edeceği 500 Bin Liraya Maliye Vekaletinin Kefaletine Mütedair Kanun
15.02.1926	741	Şeker, Petrol ve Benzin İnhisarına Ait İptidai Sermaye Hakkında Kanun
17.02.1926	747	1340 Senesi Muvazanei Umumiye Kanununun 22 nci Maddesinin İlgasına Dair Kanun
22.02.1926	751	İstanbul Harikzedegan Apartmanlarının Türk Tayyare Cemiyetine Terk ve Tahsisi Hakkında Kanun
22.02.1926	752	Ziraat Makinalarında ve Ziraatte İstimal Olunanı Mevaddı Müştaile ve Muharrike ile Müstahzaratı Kimyeviyenin Rüsumu Hakkında Kanun
06.03.1926	770	Ankara Şehremanetine İki Milyon Lira İkrazı Hakkında Kanun
13.03.1926	781	Mübadeleye Gayri Tabi Eşhastan Metruk Olup Hakkı İskanı Haiz Olanlara Verilmiş ve Verilecek Emvali Gayri Menkule Hakkında Kanun
17.03.1926	786	Demir Sanayiinin Tesisine Dair Kanun
17.03.1926	787	Kayseri-Ulukışla Demiryolunun İnşası Hakkında Kanun
24.03.1926	793	Malatya - Ergani - Diyarıbekir Demiryollarının İnşaası Hakkında Kanun
24.03.1926	794	Adana - Diyarıbekir - Ergani Arasında Demiryolu İnşaasına Dair 22.03.1340 Tarih ve 448 Numaralı Kanunun İlgası Hakkında Kanun
